database,schema,table,column,sql_type,not_null,primary_key,unique,default,description
wkt_db,kitchen,sinks,name,VARCHAR(255),true,true,false,,name: IDENTIFIER → PRIMARY KEY.
wkt_db,kitchen,sinks,flag,BOOLEAN,false,false,false,,bool → BOOLEAN.
wkt_db,kitchen,sinks,count32,INTEGER,false,false,false,,int32 → INTEGER.
wkt_db,kitchen,sinks,count64,BIGINT,false,false,false,,int64 → BIGINT.
wkt_db,kitchen,sinks,ratio,REAL,false,false,false,,float → REAL.
wkt_db,kitchen,sinks,precise,DOUBLE PRECISION,false,false,false,,double → DOUBLE PRECISION.
wkt_db,kitchen,sinks,blob,BYTEA,false,false,false,,bytes → BYTEA.
wkt_db,kitchen,sinks,event_time,TIMESTAMPTZ,false,false,false,,Timestamp → TIMESTAMPTZ.
wkt_db,kitchen,sinks,window,INTERVAL,false,false,false,,Duration → INTERVAL.
wkt_db,kitchen,sinks,mask,TEXT,false,false,false,,FieldMask → TEXT.
wkt_db,kitchen,sinks,maybe_count,BIGINT,false,false,false,,Int64 wrapper → BIGINT.
wkt_db,kitchen,sinks,maybe_label,VARCHAR(255),false,false,false,,String wrapper → VARCHAR(255).
wkt_db,kitchen,sinks,tags,VARCHAR(255)[],false,false,false,,repeated string → VARCHAR(255)[].
wkt_db,kitchen,sinks,scores,INTEGER[],false,false,false,,repeated int32 → INTEGER[].
wkt_db,kitchen,sinks,attributes,JSONB,false,false,false,,map → JSONB.
